alpha_3,ADM0_PCODE,ADM0_REF,ADM1_PCODE,ADM1_REF,ADM2_PCODE,ADM2_REF,ADM3_PCODE,ADM3_REF,ADM_LEVEL,ADM_PCODE,ADM_REF,Season,CHIRPS_mean,CHIRPS_min,CHIRPS_max
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041404,Wadera,3,ET041404,Wadera,marmay,61.59405,22.37616,87.6637
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041405,Odo Shakiso,3,ET041405,Odo Shakiso,marmay,119.71599,64.39209,167.44528
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041407,Liben,3,ET041407,Liben,marmay,114.33594,15.73087,166.66568
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041408,Dama,3,ET041408,Dama,marmay,169.541,106.26508,216.23224
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041409,Arda Jila,3,ET041409,Arda Jila,marmay,95.54843,80.41138,122.84091
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041410,Girja /Harenfema,3,ET041410,Girja /Harenfema,marmay,71.97925,39.12793,96.27393
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041411,Ana Sora,3,ET041411,Ana Sora,marmay,96.75374,74.21527,118.3335
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041412,Saba Boru,3,ET041412,Saba Boru,marmay,134.07661,29.84857,178.17331
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041413,Gora Dola,3,ET041413,Gora Dola,marmay,68.52786,-7.42084,182.3457
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041414,Negele town,3,ET041414,Negele town,marmay,92.50705,92.50705,92.50705
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041482,Aga Wayu,3,ET041482,Aga Wayu,marmay,140.85966,116.80371,175.263
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041490,Haro Walabu,3,ET041490,Haro Walabu,marmay,188.65901,152.65247,208.65558
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041492,Adola town,3,ET041492,Adola town,marmay,89.1962,89.1962,89.1962
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041497,Gumi Idalo,3,ET041497,Gumi Idalo,marmay,115.97743,77.88391,152.46338
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,ET041499,Shakiso town,3,ET041499,Shakiso town,marmay,72.8952,72.8952,72.8952
ETH,ET,Ethiopia,ET04,Oromia,ET0415,West Guji,ET041501,Bule Hora,3,ET041501,Bule Hora,marmay,143.15269,119.34439,182.41281
ETH,ET,Ethiopia,ET04,Oromia,ET0415,West Guji,ET041502,Kercha,3,ET041502,Kercha,marmay,146.41261,105.72574,186.21246
ETH,ET,Ethiopia,ET04,Oromia,ET0415,West Guji,ET041509,Hambela Wamena,3,ET041509,Hambela Wamena,marmay,149.64817,117.74396,204.56665
ETH,ET,Ethiopia,ET04,Oromia,ET0415,West Guji,ET041513,Abaya,3,ET041513,Abaya,marmay,69.8767,22.60611,177.73248
ETH,ET,Ethiopia,ET04,Oromia,ET0415,West Guji,ET041515,Dugda Dawa,3,ET041515,Dugda Dawa,marmay,110.03973,76.37112,151.36191
ETH,ET,Ethiopia,ET04,Oromia,ET0415,West Guji,ET041517,Gelana (West Guji),3,ET041517,Gelana (West Guji),marmay,105.5892,54.6189,151.39807
ETH,ET,Ethiopia,ET04,Oromia,ET0415,West Guji,ET041518,Melka Soda,3,ET041518,Melka Soda,marmay,142.42307,97.6795,188.92404
ETH,ET,Ethiopia,ET04,Oromia,ET0415,West Guji,ET041587,Bule Hora town,3,ET041587,Bule Hora town,marmay,,,
ETH,ET,Ethiopia,ET04,Oromia,ET0415,West Guji,ET041594,Suro Berguda,3,ET041594,Suro Berguda,marmay,129.04545,87.90121,164.41406
ETH,ET,Ethiopia,ET04,Oromia,ET0415,West Guji,ET041596,Birbirsa Kojowa,3,ET041596,Birbirsa Kojowa,marmay,139.52911,118.32092,156.60413
ETH,ET,Ethiopia,ET04,Oromia,ET0416,Buno Bedele,ET041603,Chora (Buno Bedele),3,ET041603,Chora (Buno Bedele),marmay,115.35132,67.91702,160.2265
ETH,ET,Ethiopia,ET04,Oromia,ET0416,Buno Bedele,ET041604,Dega,3,ET041604,Dega,marmay,91.45997,67.42102,114.44556
ETH,ET,Ethiopia,ET04,Oromia,ET0416,Buno Bedele,ET041605,Dabo Hana,3,ET041605,Dabo Hana,marmay,98.25165,65.91287,113.18677
ETH,ET,Ethiopia,ET04,Oromia,ET0416,Buno Bedele,ET041606,Gechi,3,ET041606,Gechi,marmay,148.61965,113.42535,195.61249
ETH,ET,Ethiopia,ET04,Oromia,ET0416,Buno Bedele,ET041607,Borecha,3,ET041607,Borecha,marmay,164.44041,134.1478,199.33353
ETH,ET,Ethiopia,ET04,Oromia,ET0416,Buno Bedele,ET041608,Dedesa,3,ET041608,Dedesa,marmay,179.8497,154.76938,222.83096
ETH,ET,Ethiopia,ET04,Oromia,ET0416,Buno Bedele,ET041618,Meko,3,ET041618,Meko,marmay,88.70919,47.21063,123.61365
ETH,ET,Ethiopia,ET04,Oromia,ET0416,Buno Bedele,ET041621,Bedele town,3,ET041621,Bedele town,marmay,,,
ETH,ET,Ethiopia,ET04,Oromia,ET0416,Buno Bedele,ET041622,Bedele Zuria,3,ET041622,Bedele Zuria,marmay,117.98878,100.01221,139.53674
ETH,ET,Ethiopia,ET04,Oromia,ET0416,Buno Bedele,ET041623,Chwaka,3,ET041623,Chwaka,marmay,75.49454,42.11786,126.7077
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041700,Dodola town,3,ET041700,Dodola town,marmay,96.34805,96.34805,96.34805
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041701,Siraro,3,ET041701,Siraro,marmay,134.26767,117.17661,150.82443
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041702,Shala,3,ET041702,Shala,marmay,84.6318,59.94678,154.02652
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041703,Arsi Negele,3,ET041703,Arsi Negele,marmay,77.15767,29.91676,170.77164
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041704,Kofele,3,ET041704,Kofele,marmay,136.65258,106.98016,169.29083
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041705,Kore,3,ET041705,Kore,marmay,137.29647,111.54898,148.44629
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041706,Gedeb Asasa,3,ET041706,Gedeb Asasa,marmay,117.52948,83.44653,146.76282
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041707,Dodola,3,ET041707,Dodola,marmay,131.73349,93.87274,204.12869
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041708,Kokosa,3,ET041708,Kokosa,marmay,135.60141,94.37903,181.76962
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041709,Nenesebo,3,ET041709,Nenesebo,marmay,130.52992,66.86438,176.71301
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041710,Adaba,3,ET041710,Adaba,marmay,118.80619,70.11984,161.06546
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041711,Shashemene town,3,ET041711,Shashemene town,marmay,,,
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041712,Shashemene Zuria,3,ET041712,Shashemene Zuria,marmay,103.46943,59.06268,174.22165
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041783,Heban Arsi,3,ET041783,Heban Arsi,marmay,107.6471,39.69427,163.49554
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041797,Wondo,3,ET041797,Wondo,marmay,109.91662,96.85529,129.52414
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041798,Bishan Guracha,3,ET041798,Bishan Guracha,marmay,97.2943,94.68961,99.89899
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,ET041799,Arsi Negele town,3,ET041799,Arsi Negele town,marmay,77.14096,77.14096,77.14096
ETH,ET,Ethiopia,ET04,Oromia,ET0418,Kelem Wellega,ET041801,Hawa Galan,3,ET041801,Hawa Galan,marmay,52.22347,33.80783,62.58984
ETH,ET,Ethiopia,ET04,Oromia,ET0418,Kelem Wellega,ET041802,Yama Logi Welel,3,ET041802,Yama Logi Welel,marmay,68.72893,46.96744,86.13763
ETH,ET,Ethiopia,ET04,Oromia,ET0418,Kelem Wellega,ET041803,Dale Wabera,3,ET041803,Dale Wabera,marmay,58.63502,41.32632,76.01685
ETH,ET,Ethiopia,ET04,Oromia,ET0418,Kelem Wellega,ET041804,Gawo Kebe,3,ET041804,Gawo Kebe,marmay,68.64619,49.51578,83.47043
ETH,ET,Ethiopia,ET04,Oromia,ET0418,Kelem Wellega,ET041805,Sayo,3,ET041805,Sayo,marmay,64.94051,46.6185,88.23746
ETH,ET,Ethiopia,ET04,Oromia,ET0418,Kelem Wellega,ET041806,Denbi Dollo town,3,ET041806,Denbi Dollo town,marmay,,,
ETH,ET,Ethiopia,ET04,Oromia,ET0418,Kelem Wellega,ET041807,Anfilo,3,ET041807,Anfilo,marmay,50.06478,17.97968,90.45166
ETH,ET,Ethiopia,ET04,Oromia,ET0418,Kelem Wellega,ET041808,Dale Sadi,3,ET041808,Dale Sadi,marmay,82.53786,60.07742,98.47299
ETH,ET,Ethiopia,ET04,Oromia,ET0418,Kelem Wellega,ET041809,Gidami,3,ET041809,Gidami,marmay,33.56522,-10.35617,81.46457
ETH,ET,Ethiopia,ET04,Oromia,ET0418,Kelem Wellega,ET041810,Jimma Horo,3,ET041810,Jimma Horo,marmay,59.07384,47.33987,75.67865
ETH,ET,Ethiopia,ET04,Oromia,ET0418,Kelem Wellega,ET041811,Lalo Kile,3,ET041811,Lalo Kile,marmay,86.6949,73.57071,109.05066
ETH,ET,Ethiopia,ET04,Oromia,ET0418,Kelem Wellega,ET041812,Sedi Chenka,3,ET041812,Sedi Chenka,marmay,63.30725,46.71078,78.83371
ETH,ET,Ethiopia,ET04,Oromia,ET0419,Horo Gudru Wellega,ET041901,Horo,3,ET041901,Horo,marmay,55.15251,37.22134,68.79739
ETH,ET,Ethiopia,ET04,Oromia,ET0419,Horo Gudru Wellega,ET041902,Shambu town,3,ET041902,Shambu town,marmay,,,
ETH,ET,Ethiopia,ET04,Oromia,ET0419,Horo Gudru Wellega,ET041903,Guduru,3,ET041903,Guduru,marmay,94.33504,50.65199,140.3452
ETH,ET,Ethiopia,ET04,Oromia,ET0419,Horo Gudru Wellega,ET041904,Ababo,3,ET041904,Ababo,marmay,77.47752,50.91557,98.80048
ETH,ET,Ethiopia,ET04,Oromia,ET0419,Horo Gudru Wellega,ET041905,Abay Chomen,3,ET041905,Abay Chomen,marmay,55.64727,34.14647,75.72815
ETH,ET,Ethiopia,ET04,Oromia,ET0419,Horo Gudru Wellega,ET041906,Jimma Genete,3,ET041906,Jimma Genete,marmay,72.51791,61.41269,99.37677
ETH,ET,Ethiopia,ET04,Oromia,ET0419,Horo Gudru Wellega,ET041907,Jimma Rare,3,ET041907,Jimma Rare,marmay,106.07336,77.36462,135.14462
ETH,ET,Ethiopia,ET04,Oromia,ET0419,Horo Gudru Wellega,ET041908,Jarte Jardega,3,ET041908,Jarte Jardega,marmay,49.81888,33.62881,69.52977
ETH,ET,Ethiopia,ET04,Oromia,ET0419,Horo Gudru Wellega,ET041909,Amuru,3,ET041909,Amuru,marmay,23.17688,-2.54898,49.90746
ETH,ET,Ethiopia,ET04,Oromia,ET0419,Horo Gudru Wellega,ET041910,Abe Dongoro,3,ET041910,Abe Dongoro,marmay,48.13986,18.02124,77.8082
ETH,ET,Ethiopia,ET04,Oromia,ET0419,Horo Gudru Wellega,ET041911,Choman Guduru,3,ET041911,Choman Guduru,marmay,84.4491,67.24863,102.19334
ETH,ET,Ethiopia,ET04,Oromia,ET0419,Horo Gudru Wellega,ET041912,Horo Buluk,3,ET041912,Horo Buluk,marmay,40.89521,26.64801,68.46297
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042001,Burayu,3,ET042001,Burayu,marmay,152.52336,135.48569,162.82271
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042004,Lege Tafo-Lege Dadi town,3,ET042004,Lege Tafo-Lege Dadi town,marmay,164.70248,164.70248,164.70248
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042005,Sululta town,3,ET042005,Sululta town,marmay,,,
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042006,Sebeta Hawas,3,ET042006,Sebeta Hawas,marmay,191.0004,162.62053,235.9118
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042008,Dukem,3,ET042008,Dukem,marmay,,,
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042009,Sebeta town,3,ET042009,Sebeta town,marmay,180.88591,167.38252,192.70526
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042011,Bereh,3,ET042011,Bereh,marmay,176.10814,160.96773,205.8934
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042012,Akaki,3,ET042012,Akaki,marmay,176.18843,149.96851,198.02132
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042013,Sululta,3,ET042013,Sululta,marmay,188.75712,119.5457,238.17909
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042014,Welmera,3,ET042014,Welmera,marmay,205.88661,172.41722,240.57455
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042016,Mulo,3,ET042016,Mulo,marmay,218.95747,185.36768,238.96939
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042018,Sendafa town,3,ET042018,Sendafa town,marmay,,,
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042020,Holeta town,3,ET042020,Holeta town,marmay,,,
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,ET042098,Gelana (Finfine),3,ET042098,Gelana (Finfine),marmay,180.11809,180.11809,180.11809
ETH,ET,Ethiopia,ET04,Oromia,ET0421,East Bale,ET042101,Gololcha Bale,3,ET042101,Gololcha Bale,marmay,93.60715,49.67786,167.12274
ETH,ET,Ethiopia,ET04,Oromia,ET0421,East Bale,ET042102,Lege Hida,3,ET042102,Lege Hida,marmay,48.89009,13.70609,85.71094
ETH,ET,Ethiopia,ET04,Oromia,ET0421,East Bale,ET042103,Ginir,3,ET042103,Ginir,marmay,78.66335,19.51364,151.58884
ETH,ET,Ethiopia,ET04,Oromia,ET0421,East Bale,ET042104,Rayitu,3,ET042104,Rayitu,marmay,71.48899,38.06625,122.38617
ETH,ET,Ethiopia,ET04,Oromia,ET0421,East Bale,ET042105,Seweyna,3,ET042105,Seweyna,marmay,47.97797,3.33992,89.67154
ETH,ET,Ethiopia,ET04,Oromia,ET0421,East Bale,ET042106,Dawe Ketchen,3,ET042106,Dawe Ketchen,marmay,83.7054,66.6525,104.34058
ETH,ET,Ethiopia,ET04,Oromia,ET0421,East Bale,ET042107,Ginir town,3,ET042107,Ginir town,marmay,49.89639,49.89639,49.89639
ETH,ET,Ethiopia,ET05,Somali,ET0501,Siti,ET050101,Ayisha,3,ET050101,Ayisha,marmay,93.64911,39.20251,183.85327
ETH,ET,Ethiopia,ET05,Somali,ET0501,Siti,ET050102,Dembel,3,ET050102,Dembel,marmay,147.77443,101.72844,194.15489
ETH,ET,Ethiopia,ET05,Somali,ET0501,Siti,ET050103,Shinile,3,ET050103,Shinile,marmay,120.6762,52.89021,230.40445
ETH,ET,Ethiopia,ET05,Somali,ET0501,Siti,ET050104,Erer (SM),3,ET050104,Erer (SM),marmay,124.06154,54.66838,278.98563
ETH,ET,Ethiopia,ET05,Somali,ET0501,Siti,ET050105,Afdem,3,ET050105,Afdem,marmay,126.87746,63.4267,231.46646
ETH,ET,Ethiopia,ET05,Somali,ET0501,Siti,ET050106,Hadhagala,3,ET050106,Hadhagala,marmay,93.05675,55.27899,145.86838
ETH,ET,Ethiopia,ET05,Somali,ET0501,Siti,ET050107,Miesso,3,ET050107,Miesso,marmay,204.7285,154.26143,256.50629
ETH,ET,Ethiopia,ET05,Somali,ET0501,Siti,ET050198,Gota-Biki,3,ET050198,Gota-Biki,marmay,170.45146,97.05299,231.02831
ETH,ET,Ethiopia,ET05,Somali,ET0501,Siti,ET050199,Gablalu,3,ET050199,Gablalu,marmay,66.36057,35.21185,92.44838
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050202,Gursum (SM),3,ET050202,Gursum (SM),marmay,92.38202,78.6353,107.07745
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050203,Babile (SM),3,ET050203,Babile (SM),marmay,78.67098,68.22002,99.75061
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050204,Shabeeley,3,ET050204,Shabeeley,marmay,96.39908,54.38246,140.83594
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050205,Aw-Bare,3,ET050205,Aw-Bare,marmay,136.51956,98.33058,179.54057
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050206,Kebribeyah,3,ET050206,Kebribeyah,marmay,97.99314,59.82376,143.10201
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050207,Harshin,3,ET050207,Harshin,marmay,94.91855,53.19876,140.81583
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050283,Tuliguled,3,ET050283,Tuliguled,marmay,123.23278,102.8544,145.53564
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050290,Goljano,3,ET050290,Goljano,marmay,63.07635,50.78738,74.90762
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050293,Jigjiga town,3,ET050293,Jigjiga town,marmay,128.56237,106.57103,139.03065
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050295,Wajale town,3,ET050295,Wajale town,marmay,93.18312,90.39445,97.56331
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050296,Kebribayah town,3,ET050296,Kebribayah town,marmay,,,
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050297,Koran /Mulla,3,ET050297,Koran /Mulla,marmay,62.18393,30.52295,81.71239
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050298,Haroreys,3,ET050298,Haroreys,marmay,127.4179,106.45135,151.46843
ETH,ET,Ethiopia,ET05,Somali,ET0502,Fafan,ET050299,Harawo,3,ET050299,Harawo,marmay,173.88326,152.13866,203.58879
ETH,ET,Ethiopia,ET05,Somali,ET0503,Jarar,ET050301,Degehamedo,3,ET050301,Degehamedo,marmay,102.33213,54.41187,153.34109
ETH,ET,Ethiopia,ET05,Somali,ET0503,Jarar,ET050302,Degehabur,3,ET050302,Degehabur,marmay,130.96565,90.14122,149.15657
ETH,ET,Ethiopia,ET05,Somali,ET0503,Jarar,ET050303,Aware,3,ET050303,Aware,marmay,90.05616,8.87947,136.91112
ETH,ET,Ethiopia,ET05,Somali,ET0503,Jarar,ET050304,Gashamo,3,ET050304,Gashamo,marmay,23.69969,-3.75215,57.06267
ETH,ET,Ethiopia,ET05,Somali,ET0503,Jarar,ET050305,Gunagado,3,ET050305,Gunagado,marmay,81.89241,32.83826,126.61723
ETH,ET,Ethiopia,ET05,Somali,ET0503,Jarar,ET050306,Bilcil-Bur,3,ET050306,Bilcil-Bur,marmay,102.60332,62.22775,140.44237
ETH,ET,Ethiopia,ET05,Somali,ET0503,Jarar,ET050307,Degahabur town,3,ET050307,Degahabur town,marmay,133.94784,121.09515,140.22418
ETH,ET,Ethiopia,ET05,Somali,ET0503,Jarar,ET050382,Yocale,3,ET050382,Yocale,marmay,124.6802,98.30418,149.50708
ETH,ET,Ethiopia,ET05,Somali,ET0503,Jarar,ET050392,Daror,3,ET050392,Daror,marmay,59.26438,-0.00296,120.38828
ETH,ET,Ethiopia,ET05,Somali,ET0503,Jarar,ET050394,Burqod,3,ET050394,Burqod,marmay,142.65894,125.53192,162.72276
ETH,ET,Ethiopia,ET05,Somali,ET0503,Jarar,ET050395,Ararso,3,ET050395,Ararso,marmay,95.20245,74.53406,110.63298
ETH,ET,Ethiopia,ET05,Somali,ET0503,Jarar,ET050399,Dig,3,ET050399,Dig,marmay,23.03238,-11.81796,65.91942
ETH,ET,Ethiopia,ET05,Somali,ET0504,Erer,ET050402,Fik,3,ET050402,Fik,marmay,74.0459,36.71271,95.79057
ETH,ET,Ethiopia,ET05,Somali,ET0504,Erer,ET050403,Salahad,3,ET050403,Salahad,marmay,35.11854,31.59149,38.23972
ETH,ET,Ethiopia,ET05,Somali,ET0504,Erer,ET050404,Hamero,3,ET050404,Hamero,marmay,52.43632,21.44922,87.92937
ETH,ET,Ethiopia,ET05,Somali,ET0504,Erer,ET050407,Lagahida,3,ET050407,Lagahida,marmay,23.21379,4.65462,43.44839
ETH,ET,Ethiopia,ET05,Somali,ET0504,Erer,ET050408,Meyumuluka,3,ET050408,Meyumuluka,marmay,69.24094,51.12869,88.48703
ETH,ET,Ethiopia,ET05,Somali,ET0504,Erer,ET050497,Qubi,3,ET050497,Qubi,marmay,25.97705,6.72339,51.23003
ETH,ET,Ethiopia,ET05,Somali,ET0504,Erer,ET050498,Yahob,3,ET050498,Yahob,marmay,70.20645,50.25128,85.43507
ETH,ET,Ethiopia,ET05,Somali,ET0504,Erer,ET050499,Wangey,3,ET050499,Wangey,marmay,16.29963,4.36012,31.53668
ETH,ET,Ethiopia,ET05,Somali,ET0505,Korahe,ET050501,Shaygosh,3,ET050501,Shaygosh,marmay,112.18366,61.43369,149.14325
ETH,ET,Ethiopia,ET05,Somali,ET0505,Korahe,ET050502,Kebridehar,3,ET050502,Kebridehar,marmay,43.81875,6.05116,81.92509
ETH,ET,Ethiopia,ET05,Somali,ET0505,Korahe,ET050503,Shilabo,3,ET050503,Shilabo,marmay,-10.51483,-55.9025,21.02261
ETH,ET,Ethiopia,ET05,Somali,ET0505,Korahe,ET050504,Debeweyin,3,ET050504,Debeweyin,marmay,-7.15371,-34.6135,39.61191
ETH,ET,Ethiopia,ET05,Somali,ET0505,Korahe,ET050586,Marsin,3,ET050586,Marsin,marmay,37.83488,-7.32425,95.9528
ETH,ET,Ethiopia,ET05,Somali,ET0505,Korahe,ET050592,Kebridehar town,3,ET050592,Kebridehar town,marmay,51.29928,37.21291,79.05884
ETH,ET,Ethiopia,ET05,Somali,ET0505,Korahe,ET050595,Goglo,3,ET050595,Goglo,marmay,47.77004,-7.12241,81.4005
ETH,ET,Ethiopia,ET05,Somali,ET0505,Korahe,ET050596,Lasdhankayre,3,ET050596,Lasdhankayre,marmay,53.23229,27.91301,87.19514
ETH,ET,Ethiopia,ET05,Somali,ET0505,Korahe,ET050597,Higloley,3,ET050597,Higloley,marmay,-10.30094,-32.50603,11.51239
ETH,ET,Ethiopia,ET05,Somali,ET0505,Korahe,ET050598,El-Ogaden,3,ET050598,El-Ogaden,marmay,11.48281,-29.84866,52.95634
ETH,ET,Ethiopia,ET05,Somali,ET0505,Korahe,ET050599,Bodaley,3,ET050599,Bodaley,marmay,75.73757,33.71729,155.35922
ETH,ET,Ethiopia,ET05,Somali,ET0506,Shabelle,ET050601,East Imi,3,ET050601,East Imi,marmay,69.38759,9.53481,109.61249
ETH,ET,Ethiopia,ET05,Somali,ET0506,Shabelle,ET050602,Adadle,3,ET050602,Adadle,marmay,9.3582,-24.43228,54.08345
ETH,ET,Ethiopia,ET05,Somali,ET0506,Shabelle,ET050603,Danan,3,ET050603,Danan,marmay,78.49339,30.79686,129.14568
ETH,ET,Ethiopia,ET05,Somali,ET0506,Shabelle,ET050604,Gode,3,ET050604,Gode,marmay,33.27096,8.22354,63.44748
ETH,ET,Ethiopia,ET05,Somali,ET0506,Shabelle,ET050605,Kelafo,3,ET050605,Kelafo,marmay,-1.0946,-29.49688,26.90317
ETH,ET,Ethiopia,ET05,Somali,ET0506,Shabelle,ET050606,Mustahil,3,ET050606,Mustahil,marmay,21.12775,-3.38148,39.868
ETH,ET,Ethiopia,ET05,Somali,ET0506,Shabelle,ET050607,Ferfer,3,ET050607,Ferfer,marmay,-0.34163,-21.0553,26.12821
ETH,ET,Ethiopia,ET05,Somali,ET0506,Shabelle,ET050608,Berocano,3,ET050608,Berocano,marmay,38.41745,23.04266,54.87761
ETH,ET,Ethiopia,ET05,Somali,ET0506,Shabelle,ET050696,Godey town,3,ET050696,Godey town,marmay,46.72567,36.60667,54.67664
ETH,ET,Ethiopia,ET05,Somali,ET0506,Shabelle,ET050698,Elale,3,ET050698,Elale,marmay,33.34745,11.1861,54.33675
ETH,ET,Ethiopia,ET05,Somali,ET0506,Shabelle,ET050699,Aba-Korow,3,ET050699,Aba-Korow,marmay,40.48046,-0.54146,104.86461
ETH,ET,Ethiopia,ET05,Somali,ET0507,Doolo,ET050701,Danod,3,ET050701,Danod,marmay,25.00413,-4.2664,47.73263
ETH,ET,Ethiopia,ET05,Somali,ET0507,Doolo,ET050702,Bokh,3,ET050702,Bokh,marmay,4.41738,-14.10922,31.03132
ETH,ET,Ethiopia,ET05,Somali,ET0507,Doolo,ET050703,Galadi,3,ET050703,Galadi,marmay,8.76865,-11.28139,38.0515
ETH,ET,Ethiopia,ET05,Somali,ET0507,Doolo,ET050704,Warder,3,ET050704,Warder,marmay,17.47236,-5.51568,59.40601
ETH,ET,Ethiopia,ET05,Somali,ET0507,Doolo,ET050788,Daratole,3,ET050788,Daratole,marmay,26.27833,14.97633,33.55635
ETH,ET,Ethiopia,ET05,Somali,ET0507,Doolo,ET050798,Lehel-Yucub,3,ET050798,Lehel-Yucub,marmay,16.75389,-1.42244,34.30402
ETH,ET,Ethiopia,ET05,Somali,ET0507,Doolo,ET050799,Galhamur,3,ET050799,Galhamur,marmay,17.97875,-6.31254,36.45781
ETH,ET,Ethiopia,ET05,Somali,ET0508,Afder,ET050802,Charati,3,ET050802,Charati,marmay,69.21342,11.14996,116.88693
ETH,ET,Ethiopia,ET05,Somali,ET0508,Afder,ET050804,Elkare /Serer,3,ET050804,Elkare /Serer,marmay,53.48851,-5.39302,110.78613
ETH,ET,Ethiopia,ET05,Somali,ET0508,Afder,ET050805,West Imi,3,ET050805,West Imi,marmay,40.24975,-5.63951,100.75638
ETH,ET,Ethiopia,ET05,Somali,ET0508,Afder,ET050806,Hargele,3,ET050806,Hargele,marmay,27.10533,-24.04013,70.16318
ETH,ET,Ethiopia,ET05,Somali,ET0508,Afder,ET050807,Barey,3,ET050807,Barey,marmay,28.30366,-24.68082,76.77808
ETH,ET,Ethiopia,ET05,Somali,ET0508,Afder,ET050808,Dolobay,3,ET050808,Dolobay,marmay,23.91346,-3.00659,53.25471
ETH,ET,Ethiopia,ET05,Somali,ET0508,Afder,ET050809,Raso,3,ET050809,Raso,marmay,68.04172,57.64371,83.55376
ETH,ET,Ethiopia,ET05,Somali,ET0508,Afder,ET050898,Kohle /Qoxle,3,ET050898,Kohle /Qoxle,marmay,-3.8528,-28.2525,25.66151
ETH,ET,Ethiopia,ET05,Somali,ET0508,Afder,ET050899,God-God,3,ET050899,God-God,marmay,-6.22242,-23.67966,8.76416
ETH,ET,Ethiopia,ET05,Somali,ET0509,Liban,ET050901,Filtu,3,ET050901,Filtu,marmay,79.55306,36.01471,125.64935
